filename,laplacian,brisque,niqe,musiq,clipiqa
00000080.jpg,406.1194,14.5504,2.4673,31.1725,0.3178
00000097.jpg,270.1435,11.6026,3.2662,39.0641,0.3663
00000110.jpg,326.4489,16.3493,2.5312,48.2473,0.479
00000124.jpg,325.68,20.129,3.3032,34.8767,0.2459
00000153.jpg,106.7134,21.1895,3.4217,48.1461,0.3602
00000156.jpg,167.7181,21.0328,3.1407,37.5069,0.3057
00000158.jpg,136.3775,18.6545,3.6155,29.1446,0.4062
00000164.jpg,83.8391,11.5027,3.348,34.3576,0.2374
00000165.jpg,245.356,14.9305,2.9343,35.352,0.4293
00000195.jpg,88.8092,10.8369,3.304,37.0841,0.2865
00000213.jpg,201.6172,8.752,3.4972,34.901,0.2572
00000219.jpg,388.2909,13.6927,2.0799,26.9049,0.2479
00000231.jpg,150.2674,18.6841,3.9645,22.7941,0.2473
00000258.jpg,300.4696,15.9928,3.5606,29.3483,0.6036
00000266.jpg,283.721,12.9675,3.4533,25.1817,0.2469
00000325.jpg,264.6988,16.4142,2.9617,22.0035,0.2099
00000377.jpg,420.8925,-0.0676,3.0967,38.574,0.3583
00000392.jpg,325.14,20.4156,2.8332,19.9372,0.3866
00000398.jpg,111.6792,9.7897,3.3106,27.4529,0.2876
00000407.jpg,213.8757,-10.7594,2.6507,43.8564,0.3682
00000408.jpg,199.114,20.4813,2.5759,35.0915,0.2632
00000446.jpg,40.9556,30.0388,3.6547,35.6889,0.2325
00000462.jpg,345.0606,26.776,3.1423,47.3684,0.4135
00000465.jpg,281.7672,13.7552,3.8729,22.9305,0.3345
00000475.jpg,55.5682,23.2638,3.1426,24.6916,0.2588
00000509.jpg,409.1571,9.7298,4.1557,14.2767,0.2326
00000513.jpg,423.9405,9.2347,2.6244,44.384,0.3517
00000517.jpg,33.8846,23.3075,3.6744,49.1066,0.3404
00000529.jpg,46.4446,30.0516,3.9676,43.3285,0.3204
00000531.jpg,358.8599,29.9341,2.272,49.59,0.4931
00000558.jpg,542.2661,16.1707,2.6309,31.3619,0.3513
00000572.jpg,149.1454,17.5392,3.4101,34.5885,0.3871
00000592.jpg,539.6439,28.1226,3.3758,18.7465,0.2994
00000634.jpg,121.4922,11.6196,3.3567,31.2165,0.2989
00000662.jpg,192.9584,12.9316,3.4101,47.7207,0.3983
00000663.jpg,166.6484,8.1411,3.3356,43.2527,0.4076
00000677.jpg,175.4903,8.7184,3.3951,36.4156,0.2713
00000680.jpg,96.5486,11.6378,3.2419,36.4704,0.3632
00000714.jpg,513.1333,18.4399,4.159,20.606,0.2981
00000738.jpg,240.8817,5.2479,3.0897,35.8094,0.348
00000765.jpg,130.0303,13.8953,2.9409,42.1383,0.2875
00000772.jpg,353.1608,26.3776,2.7238,39.4762,0.3897
00000775.jpg,263.5443,13.2291,2.7846,41.7838,0.582
00000782.jpg,151.3294,21.3876,2.822,42.4007,0.3069
00000784.jpg,315.7282,15.534,2.8731,48.3663,0.3663
00000852.jpg,501.5079,31.1835,3.6987,32.8745,0.3807
